Term,Abbreviation / Acronym / Definition,Abbreviation,Definition,Category,Tags,Source,Contact,Comments,Approval Status,Rating (0-5),Synonyms,ID,Top Filter
"Limits of Deviation","[""Definition""]","LOD","Describes the limit of land to be acquired or used for the scheduled works to be constructed, these can be horizontal and vertical. ","[""Gov"",""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"533","L"
"Limits of Land to be Acquired or Used","[""Definition""]","LLAU","Defines the limit of land require for the project, bit construction and operational use, shown on a map.","[""Technical terms for statutory consultations""]",,,,,"Approved",,,"534","L"
"Line Management","[""Definition""]",,"A person who is directly responsible for managing an individual within EWR Co.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1444","L"
"Line Manager","[""Definition""]",,"A person who is directly responsible for managing the work of someone else within EWR Co.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1445","L"
"Line Replaceable Unit","[""Definition""]","LRU","The smallest item of ERTMS equipment that is removed for repair at first-line maintenance.","[""Digital Railway""]",,,,,"Approved",,,"535","L"
"Line speed","[""Definition""]",,"The maximum speed at which traffic is allowed to run on a line","[""Industry""]",,,,,"Approved",,,"536","L"
"Linear Reference Marker","[""Definition""]","LRM","A lineside marker post indicating a linear reference. 
This is often referred to as a Mile Post.","[""Industry""]",,,,,"Approved",,,"537","L"
"Linear Reference System","[""Definition""]","LRS","The underlying referencing system indicated by a LRM.","[""Industry""]",,,,,"Approved",,,"538","L"
"Lines of Defence","[""Abbreviation""]","LoD",,"[""Industry""]",,,,,"Approved",,,"539","L"
"Lineside Infrastructure","[""Definition""]",,"Signalling apparatus and associated equipment (e.g. power distribution, data collection equipment) installed on or near the line. Examples include: point machines, train detection equipment, level crossings, ground frames, and associated control and indication systems.","[""Digital Railway""]",,,,,"Approved",,,"540","L"
"Listed Building Consent","[""Definition""]",,"Consent required for any works to alter, extend or demolish a listed building in a way that affects its character as a building of special interest.","[""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"1647","L"
"Live Graphics","[""Definition""]",,"‘Live’ as used in relevant BIM documents, refers to CAD elements which are editable within CAD file discussed.","[""Enterprise Architecture""]","[""CAD""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1284","L"
"Local Air Quality Management","[""Abbreviation""]","LAQM",,"[""Technical terms for statutory consultations""]",,,,,"Approved",,,"541","L"
"Local Area Network","[""Acronym""]","LAN",,"[""Digital Railway""]",,,,,"Approved",,,"542","L"
"Local Authority","[""Abbreviation""]","LA",,"[""Gov""]",,,"Karen Straw",,"Approved",,,"1258","L"
"Local Development Plan","[""Definition""]","LDP","A suite of planning policy documents prepared and adopted by an LPA. Any application for planning permission made under the Town and Country Planning Act 1990 must be determined in accordance with the development unless material considerations indicate otherwise. The content of the LDP will be a relevant consideration in the Secretary of State for Transport’s decision over whether to grant the DCO, which is mainly assessed against the content of the NNNPS.","[""Technical terms for statutory consultations""]",,,,,"Approved",,,"543","L"
"Local Impact Report","[""Abbreviation""]","LiR",,"[""Gov""]",,,,,"Approved",,,"544","L"
"Local Leading Flood Authority","[""Definition""]",,"County councils and unitary authorities that lead in managing local flood risks from surface water, ground water and ordinary (smaller) watercourses).","[""Consents""]","[""Developments Consent Order""]","Consents Upload","Lungile Mngadi",,"Approved",,,"1648","L"
"Local Natural Capital Plan","[""Abbreviation""]","LNCP",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1208","L"
"Lone Working","[""Definition""]",,"Where any individual works is working alone with low levels of contact with other colleagues and where there is a lack of other EWR Co, client, controlled contractor, or contractor personnel that could observe and respond to an injury, illness, or emergency in a timely manner, regardless of time period.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell;Claire Green",,"Approved",,,"1446","L"
"Long Line Public Address","[""Abbreviation""]","LLPA",,"[""Industry""]",,,,,"Approved",,,"545","L"
"Long Welded Rail","[""Definition""]","LWR","Usually delivered to renewal sites in 300ft or 600ft lengths (also known as CWR)","[""Industry""]",,,,,"Approved",,,"546","L"
"Long-Term Plan","[""Abbreviation""]","LTP",,"[""Digital Railway""]",,,,,"Approved",,,"547","L"
"Long-Term Planning",,"LTP","Planning for the major timetable changes","[""Industry""]",,,,,"Approved",,,"548","L"
"Lost Time Injury","[""Definition"",""Abbreviation""]","LTI","A work-related injury which results in a person being away from work for a period of time (excluding the day of the injury) or being unable to perform their normal work duties.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1447","L"
"Maintainability","[""Definition""]",,"The probability that a given active maintenance action for an item under given conditions of use can be carried out within a stated time interval when the maintenance is performed under stated conditions and using stated procedures and resources.","[""Digital Railway""]",,,,,"Approved",,,"549","M"
"Maintenance","[""Definition""]",,"The combination of all technical and administrative actions, including supervisory actions, intended to retain a product in, or restore it to, a state in which it can perform a required function.","[""Digital Railway""]",,,,,"Approved",,,"550","M"
"Major Incident","[""Definition""]",,"As defined and declared by the emergency services, affecting (or with the potential to affect) the safe operation of the railway and/or its assets, including pandemics, major civil unrest or chemical, biological, radiological, or nuclear (CBRN) release etc.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell;Graeme Cox",,"Approved",,,"1448","M"
"Major Nonconformity","[""Definition""]",,"Where non fulfilment of a requirement, such as deviation from the management system, is so great that it causes a breakdown of the intended system.  Major nonconformities may also be raised following failure to adequately address nonconformities identified at a previous audit, or where the management system itself fails to fulfil a requirement.","[""EWR""]","[""IMS""]",,"Michelle Stroud",,"Approved",,,"1067","M"
"Major Nonconformity","[""Definition""]",,"A condition or practice that is highlighted as going against the stated safety requirements which, if unresolved, could cause serious injury, illness or serious property damage.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1449","M"
"Major Projects Review Group","[""Definition""]","MPRG","The MPRG is a pool of experts, from which panels are put together to scrutinise the largest and most complex major government projects. MPRG Panels challenge projects on deliverability, affordability and value for money at key points in the HMT approvals process (SOC, OBC, FBC) and as required at other points during their lifecycle.","[""Gov""]",,,,,"Approved",,,"551","M"
"Management of Change","[""Definition""]",,"The process of  determining and controlling occupational risks brought about by changes in the organisation, either planned temporary or permanent changes, which may affect organisational performance.
","[""EWR"",""Health, Wellbeing, Safety & Security""]","[""IMS""]",,,,"Approved",,,"1414","M"
"Management of Health and Safety at Work Regulations 1999 ","[""Abbreviation""]","MHSWR",,"[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","EWR Systems Safety Plan",,,"Approved",,,"1567","M"
"Managing Successful Projects for Network Rail","[""Abbreviation""]","MSP4NR",,"[""Digital Railway""]",,,,,"Approved",,,"552","M"
"Manually Controlled Barrier","[""Abbreviation""]","MCB",,"[""Digital Railway""]",,,,,"Approved",,,"553","M"
"Manually Controlled Barrier – Closed Circuit Television","[""Abbreviation""]","MCB-CCTV",,"[""Digital Railway""]",,,,,"Approved",,,"554","M"
"Manually Controlled Barrier – Obstacle Detection","[""Abbreviation""]","MCB-OD",,"[""Digital Railway""]",,,,,"Approved",,,"555","M"
"Market Prices","[""Definition""]",,"Where prices include indirect taxes such as VAT.","[""Industry""]",,,,,"Approved",,,"556","M"
"Marston Vale Line","[""Definition""]","MVL","The existing line and services operating between Bletchley and Bedford. Not to be used to refer to the section of EWR between Bletchley and Bedford.
Use in full externally.","[""EWR""]",,,,,"Approved",,,"557","M"
"Marylebone to Claydon Junction","[""Definition""]","MCJ","This a collective of individual ELRs (Engineer's Line Reference codes), defining the railway between London Marylebone and Claydon Junction (near Calvert), via Aylesbury.
For EWR2 this is relevant from Aylesbury to Claydon Junction and consists of MCJ2, MCJ3 & MCJ4.","[""Industry""]",,,,,"Approved",,,"558","M"
"Master Data Management","[""Abbreviation""]","MDM",,"[""Industry""]",,,,,"Approved",,,"559","M"
"Master Information Delivery Plan","[""Abbreviation""]","MIDP",,"[""Industry""]",,,,,"Approved",,,"560","M"
"Material Safety Data Sheet","[""Abbreviation""]","MSDS",,"[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Upload","Karen Campbell",,"Approved",,,"1596","M"
"MAY","[""Definition""]",,"This term is used to state an optional requirement in reference to the Policy. See Comments cell.","[""Information Technology""]","[""Information Security""]","Business Continuity and Disaster Recovery - Information Security Policy ","Philippe Berthelot","Term is specific to the Policy as stated in the Source field.","Approved",,,"1752","M"
"Mean Time Between Service Affecting Failure","[""Definition""]","MTBSAF","The average time between faults in a piece of equipment that result in train delays.","[""Digital Railway""]",,,,,"Approved",,,"561","M"
"Mean Time to Repair","[""Definition""]","MTTR","Mean Time to Repair is a measure of the maintainability of a repairable item which tells the average time required to repair a specific item or component and return it to working status. It is a basic measure of the maintainability of equipment and parts. This includes the notification time, diagnosis, and the time spent on actual repair, as well as other activities required before the equipment can be used again.","[""Digital Railway""]",,,,,"Approved",,,"562","M"
"Mechanical & Electrical","[""Abbreviation""]","M&E",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1211","M"
"Mechanical and Electrical Engineering (or Engineer)","[""Abbreviation""]","M&EE",,"[""Industry""]",,,,,"Approved",,,"563","M"
"Mega Volt Amperes","[""Abbreviation""]","MVA",,"[""Electrical Engineering""]",,"Power Engineering Upload","Michael Bartley",,"Approved",,,"1691","M"
"Mental Health First Aider ","[""Abbreviation""]","MHFA",,"[""Health, Wellbeing, Safety & Security""]","[""Wellbeing""]","H&S Upload","Karen Campbell",,"Approved",,,"1595","M"
"Message Authentication Code","[""Definition""]","MAC","An authenticator which is sent with a message to enable the receiver to detect alterations made to the message since it left the sender and to verify that the source of the message is as claimed. The MAC is a function of the whole message and a secret key.","[""Digital Railway""]",,,,,"Approved",,,"566","M"
"Metadata","[""Definition""]",,"'Data about data' or data providing information about one or more aspects of the data.  It is used to summarise basic information about data which can make tracking and working with specific data easier.","[""Industry"",""Enterprise Architecture""]","[""BIM - Management""]","BIM Exchange Information Requirements","Abel Maciel;Simon Miller",,"Approved",,,"567","M"
"Method Statement / Methodology","[""Definition""]",,"Detailed safe work practices to be used to undertake a task(s).","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1450","M"
"MicroStation","[""Definition""]",,"Bentley Systems 2D/3D CAD software.","[""Enterprise Architecture""]","[""CAD""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1278","M"
"Midland Main Line","[""Abbreviation""]","MML","Major railway line in England from London St Pancras to Nottingham and Sheffield in the north of England via Bedford and Leicester.","[""Electrical Engineering"",""Industry""]",,"Power Engineering Upload","Michael Bartley",,"Approved",,,"1687","M"
"Mid-Point Track Sectioning Cabin","[""Abbreviation""]","MPTSC",,"[""Electrical Engineering""]","[""Traction Power Engineering""]","Power Engineering Upload","Michael Bartley",,"Approved",,,"1689","M"
"Mile per Technical Trust Incident","[""Definition""]","MTIN","A measure of Rolling Stock performance. Average mileage between incidents causing delays of 3 minutes or more.","[""Industry""]",,,,,"Approved",,,"570","M"
"Miles","[""Definition""]","miles","A key unit of measurement in the imperal measurment system.  One mile consists of 1760 yard (approximately 1609 metres).
The UK Rail Network is predominently based on miles and chains.","[""Industry""]",,,,,"Approved",,,"571","M"
"Milli-Seconds","[""Abbreviation""]","ms",,"[""Electrical Engineering""]",,"Power Engineering Upload","Michael Bartley",,"Approved",,,"1690","M"
"Milton Keynes Council","[""Abbreviation""]","MKC",,"[""Gov""]",,,,,"Approved",,,"572","M"
"Ministry of Agriculture, Fisheries and Food","[""Acronym""]","MAFF",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1210","M"
"Ministry of Defence","[""Definition"",""Abbreviation""]","MoD","UK government department responsible for protecting the security, independence and interest of the UK. The Ministry of Defence owns the Bassingbourn Barracks, which is located along some of the potential route options for the central section.","[""Gov""]",,,,,"Approved",,,"573","M"
"Ministry of Housing, Communities and Local Government","[""Definition""]","MHCLG","UK government department responsible for housing, community and local government matters in England.","[""Gov""]",,,,,"Approved",,,"574","M"
"Minor Nonconformity","[""Definition""]",,"Where non fulfilment of a requirement, such as deviation from the management system, is not considered to be a Major Nonconformity.  Minor Nonconformities may also be raised after finding several smaller issues which individually may be classed as Observations, but together they may present a systemic issue.","[""EWR""]","[""IMS""]",,"Michelle Stroud",,"Approved",,,"1068","M"
"Minor Nonconformity","[""Definition""]",,"A condition or practice likely to cause minor injury or illness, or non-disruptive property damage. Any instance of bad working practice.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1451","M"
"Mission","[""Definition""]",,"An objective description of the fundamental task performed by a system.","[""Digital Railway""]",,,,,"Approved",,,"575","M"
"Mitigation","[""Definition""]",,"The proposed means to avoid, prevent or reduce the likely severity and magnitude of potentially adverse effects. ","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1147","M"
"Model Space of Drawing File","[""Definition""]",,"Where the design references are attached and referenced into the sheet view.","[""Enterprise Architecture""]","[""CAD""]","BIM Exchange Information Requirements","Abel Maciel",,"Approved",,,"1274","M"
"Modelling","[""Definition""]",,"A digital representation of a system used simulate and predict","[""Industry""]",,,,,"Approved",,,"576","M"
"Modular Control System","[""Abbreviation""]","MCS",,"[""Digital Railway""]",,,,,"Approved",,,"577","M"
"MOIRA","[""Definition""]",,"Moira and MOIRA2 are the standard software tools used in the UK to predict the number of people who will travel on each service.
The term is not an acronym.","[""Industry""]",,,,,"Approved",,,"578","M"
"Movement Authority","[""Definition""]","MA","Element of ERTMS / ETCS
Authority for a train to move along a section of line up to a specified End of Authority location.","[""Digital Railway""]",,,,,"Approved",,,"579","M"
"Moving Annual Average","[""Definition""]","MAA","The sum of the values for the most recent complete calendar month and each of the previous 11 calendar months, divided by 12","[""Health, Wellbeing, Safety & Security"",""Industry""]","[""Health & Safety""]","H&S Upload","Karen Campbell",,"Approved",,,"1594","M"
"Moving Block Signalling","[""Definition""]",,"A method of signalling in which the Movement Authority given to a train is increased by sub-multiples / divisors of the braking distance as the train advances. The Movement Authority is extended as new location information is received about relevant trains currently on the system.","[""Digital Railway""]",,,,,"Approved",,,"580","M"
"Multiple Unit","[""Definition""]",,"A train which has the engines or motors built into it, and therefore requires no locomotive. These units can be coupled together, and driven from the leading cab, when they are said to be running ""in multiple""","[""Industry""]",,,,,"Approved",,,"582","M"
"Multiple/Multi Aspect Signalling","[""Definition""]","MAS","A generic term for the existing British colour light signalling systems.","[""Digital Railway""]",,,,,"Approved",,,"583","M"
"Multi-Protocol Label Switching","[""Abbreviation""]","MPLS",,"[""Digital Railway""]",,,,,"Approved",,,"581","M"
"MY Compliance","[""Definition""]",,"A Cloud-based multi-function Compliance Management System, utilising a range of reporting tools for the operational management of Health, Safety and Environmental Legal Compliance Registers, Accident & Incident Reporting, Management System Auditing, Non-Conformance Management, Action Management and Environmental Registers.","[""Health, Wellbeing, Safety & Security"",""EWR""]","[""IMS""]",,"Michelle Stroud",,"Approved",,,"1396","M"
"National Character Area","[""Abbreviation""]","NCA",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1212","N"
"National Cyber Security Centre","[""Abbreviation""]","NCSC",,,"[""Cyber Security""]","Cyber Security Strategy",,,"Approved",,,"1736","N"
"National Farmers Union","[""Abbreviation""]","NFU",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1213","N"
"National Infrastructure Commission","[""Definition""]","NIC","Independent commission providing the government with advice on major long-term infrastructure challenges.","[""Environment"",""Gov""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1214","N"
"National Institute of Standards & Technology","[""Definition""]","NIST","The National Institute of Standards and Technology is an agency of the United States Department of Commerce whose mission is to promote American innovation and industrial competitiveness.","[""Systems Engineering""]",,"BIM & Digital Twin","Abel Maciel",,"Approved","5",,"1108","N"
"National Joint ROSCO Project","[""Abbreviation""]","NJRP",,"[""Digital Railway""]",,,,,"Approved",,,"586","N"
"National Nature Reserve","[""Abbreviation""]","NNR",,"[""Environment""]",,,,,"Approved",,,"587","N"
"National Networks National Policy Statement","[""Definition""]","NNNPS","The prime policy basis against which the Secretary of State for Transport (through PINS) will assess and determine a DCO application for a new railway pursuant to section 104 of the 2008 Act in deciding whether or not to grant the DCO.","[""Technical terms for statutory consultations""]",,,,,"Approved",,,"588","N"
"National Planning Policy Framework","[""Abbreviation""]","NPPF",,"[""Environment"",""Gov""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1216","N"
"National Policy Statement","[""Abbreviation""]","NPS",,"[""Gov"",""Environment""]",,,"Karen Straw",,"Approved",,,"589","N"
"National Policy Statement for National Networks","[""Abbreviation""]","NPSNN",,"[""Environment"",""Gov""]",,,"Karen Straw",,"Approved",,,"1218","N"
"National Protective Security Authority","[""Abbreviation""]","NPSA",,,"[""Cyber Security""]","Cyber Security Strategy",,,"Approved",,,"1731","N"
"National Radio Network","[""Definition""]","NRN","A legacy form of mobile communication that enabled non-secure communication between control centres and train drivers or other trackside staff. The system is no longer used, having been replaced by the GSM-R.","[""Digital Railway""]",,,,,"Approved",,,"590","N"
"National Real-Time Database","[""Abbreviation""]","NRTD",,"[""Digital Railway""]",,,,"See also definition for DARWIN","Approved",,,"584","N"
"National Safety Authority","[""Abbreviation""]","NSA",,"[""Digital Railway""]",,,,,"Approved",,,"591","N"
"National Standard","[""Definition""]",,"A standard notified to the European Commission (EC) by the relevant Member State.","[""Digital Railway""]",,,,,"Approved",,,"592","N"
"National Technical Rule","[""Definition""]","NTR","Any national rule notified by Member States under Council Directive 96/48/EC, or Directive 2001/16/EC of the European Parliament and of the Council and Directives 2004/49/EC and 2008/57/EC.","[""Digital Railway""]",,"EWR Systems Safety Plan",,,"Approved",,,"593","N"
"National Technical Specification Notice ","[""Abbreviation""]","NTSN",,"[""EWR""]",,"EWR Systems Safety Plan",,,"Approved",,,"1570","N"
"National Train Control","[""Abbreviation""]","NTC",,"[""Digital Railway""]",,,,,"Approved",,,"595","N"
"National Trip End Model","[""Definition""]","NTEM","Published by the government and forecasts the growth in journeys between origin and destination pairs up to 2051 for use in transport modelling.","[""Gov""]",,,,,"Approved",,,"596","N"
"National Value Area","[""Definition""]",,"A geographical area within which a single set of National Values applies (except where specific National Values are used for an individual movement).","[""Digital Railway""]",,,,,"Approved",,,"597","N"
"National Values","[""Definition""]","NV","Certain parameters within the ERTMS are a matter of national or regional choice and are known as National Values. The set of National Values is transmitted to the train when it passes into a new national or regional area.","[""Digital Railway""]",,,,,"Approved",,,"598","N"
"National Vocational Qualification","[""Definition""]","NVQ","An NVQ (National Vocational Qualification) is a work-based way of learning – which is carried out at a college, school, or workplace. Each NVQ level involves a range of on-the-job tasks and activities that are designed to test you on your ability to do a job effectively.","[""Industry""]",,,,,"Approved",,,"599","N"
"Nationally Significant Infrastructure Project","[""Definition""]","NSIP","Large scale developments (relating to energy, transport, water, or waste) that can use a national development consent process as set out in the Planning Act 2008. Use this when referring to the Project as having this status. The term “the NSIP” can only be used in specific, legally appropriate circumstances, so should be avoided.","[""Gov""]",,,,,"Approved",,,"600","N"
"Natural Capital","[""Definition""]",,"The stock of natural assets upon which society depends such as ecosystems, air and seas. These assets provide a flow of benefits (e.g. wildlife, clean air and water) which are an essential basis for long term economic growth and productivity.","[""Industry""]",,,,,"Approved",,,"601","N"
"Negative Phase Sequence","[""Abbreviation""]","NPS",,"[""Electrical Engineering""]","[""Power Engineering""]","Power Engineering Upload","Michael Bartley",,"Approved",,,"1692","N"
"Net Gain Approach","[""Definition""]",,"Development which provides an overall benefit to the environment or a specific environmental area e.g. biodiversity","[""Environment""]",,,,,"Approved",,,"603","N"
"Net Zero Carbon","[""Definition""]","NZC","The target enshrined in the Climate Change Act 2008 for targeted reduction of greenhouse gas emissions, to achieve a net UK carbon account budget for the year 2050 that is at least 100% lower than the 1990 baseline. The Project has an ambition to achieve a Net Zero Carbon Railway.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1148","N"
"Net Zero Carbon Action Plan","[""Abbreviation""]","NZCAP",,"[""Environment""]",,,"Karen Straw",,"Approved",,,"1221","N"
"Net Zero Carbon Railway","[""Abbreviation""]","NZCR","Achieving a state in which the activities within the value chain of a company result in no net impact on the climate from greenhouse gas emissions. This is achieved by reducing value chain greenhouse gas emissions, in line with 1.5°C pathways, and by balancing the impact of any remaining greenhouse gas emissions with an appropriate amount of carbon removals","[""Environment"",""Industry""]",,,"Karen Straw",,"Approved",,,"604","N"
"Network Code","[""Definition""]",,"The Network Code is a set of contractual rules incorporated into each track access agreement between Network Rail and all train operators.
It covers those areas where all parties are obliged to work together to the same standards and timescales. This includes such areas as: Developing the timetable, Making changes to the network or to vehicles, Environmental protection, Standards of performance monitoring, Resolving contractual disputes, Managing operational disruption. Any new operators on the network will need to sign up to the Network Code.","[""Industry""]",,,,,"Approved",,,"605","N"
"Network Diagram","[""Definition""]",,"This is a project management tool to inform the generation of a schedule. It is an activity flow diagram that shows activities, their sequence, and the dependencies between them to ensure that the logic and critical path of a schedule is robust.","[""Industry""]",,,,,"Approved",,,"606","N"
"Network Information Security","[""Abbreviation""]","NIS",,,"[""Cyber Security""]","Cyber Security Strategy",,,"Approved",,,"1737","N"
"Network Integrated Control Centre","[""Abbreviation""]","NICC",,"[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1215","N"
"Network Planning Rules","[""Definition""]","NPR","Rules agreed with train operators under which speed restrictions or temporary line closures can be imposed for maintenance purposes","[""Industry""]",,,,,"Approved",,,"607","N"
"Network Rail","[""Definition""]","NR","Railway company owning and operating most of Great Britain’s railway infrastructure. An arms-length body of the Department for Transport. 
Use in full externally, noting that it may be referenced as “Network Rail Infrastructure Limited” or “NRIL”","[""Industry""]",,,,,"Approved",,,"608","N"
"Network Rail Assurance Panel","[""Abbreviation""]","NRAP",,"[""Digital Railway""]",,"EWR Systems Safety Plan",,,"Approved",,,"609","N"
"Network Rail Managed Infrastructure","[""Abbreviation""]","NRMI",,"[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Upload","Karen Campbell",,"Approved",,,"1597","N"
"Network Rail Telecoms","[""Abbreviation""]","NRT",,"[""Digital Railway""]",,,,,"Approved",,,"610","N"
"Neutral Passive Provision","[""Definition""]","NPP","The provision of space and buildability of future requirements that can be delivered later. The current design of the configuration state should not hinder this future provision.
Term defined in the Development Agreement 15:48\02 December 2020\EUS\CACOOK\358087026.09 ASHURST DRAFT: 2 December 2020","[""EWR""]",,,,,"Approved",,,"611","N"
"Neutral Section","[""Definition""]",,"An arrangement of insulators in the OLE designed to ensure that two sections are kept electrically separate even during the passage of a pantograph","[""Industry""]",,,,,"Approved",,,"612","N"
"New Engineering Contract","[""Abbreviation""]","NEC",,"[""EWR""]",,"EWR Systems Safety Plan",,,"Approved",,,"1568","N"
"New Starter","[""Definition""]",,"A member of EWR Co personnel who has recently joined the organisation.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1452","N"
"Noise Policy Statement for England","[""Abbreviation""]","NPSE",,"[""Environment"",""Gov""]",,,"Karen Straw",,"Approved",,,"1217","N"
"Nominated Person","[""Definition""]",,"A person with whom the lone worker maintains periodic contact to ensure the continued health and safety of the lone worker. The nominated person should be an EWR Co employee and must document the lone worker contact times.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1453","N"
"Non-Compliance","[""Definition""]",,"Failure to comply with statutory or regulatory requirements.  Note this is a specific term and should not be confused with Nonconformity.  Nonconformities may include Noncompliance.","[""EWR"",""Health, Wellbeing, Safety & Security""]","[""IMS"",""Health & Safety""]",,"Michelle Stroud",,"Approved","5",,"1069","N"
"Nonconformity","[""Definition""]","NC","Non fulfilment of a requirement.  These are graded into Major and Minor Nonconformities depending on severity.","[""EWR"",""Health, Wellbeing, Safety & Security""]","[""IMS"",""Health & Safety""]","ISO 19011","Michelle Stroud;Karen Campbell",,"Approved","5",,"1066","N"
"Non-designated Heritage Asset","[""Definition""]","NdHA","Buildings, monuments, sites, places, areas or landscapes identified by plan-making bodies (such as Local Planning Authorities) as having a degree of heritage significance meriting consideration in planning decisions but which do not meet the criteria for designated heritage assets.","[""Environment""]","[""IMS"",""Survey""]",,"Karen Straw",,"Approved",,,"1149","N"
"Non-Executive Director","[""Definition""]",,"A member of the EWR Co board of directors but not a member of the executive management team or employed by EWR Co.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1455","N"
"Non-statutory consultation","[""Definition""]",,"A consultation exercise undertaken by EWR Co at its discretion rather than pursuant to and in accordance with the requirements of section 42 of the PA 2008.","[""Public engagement and consultation""]",,,,,"Approved",,,"614","N"
"Non-technical Skills","[""Definition""]","NTS","Social, cognitive and personal skills that can enhance the way staff carry out technical skills, tasks and procedures. Can assist people in safety-critical roles with how to deal with a range of different situations.","[""Industry""]",,,,,"Approved",,,"615","N"
"Normal Mode","[""Definition""]",,"Mode of railway operation for handling the conditions that the railway is designed to accommodate. Normal operations take into account the equipment level provided on the trackside and trainborne equipment, and also the operational conditions expected, such as peaks and troughs in demand.","[""Digital Railway""]",,,,,"Approved",,,"616","N"
"Normalised","[""Definition""]",,"To change the values of a dataset to a common scale, without distorting differences in the ranges of values","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1456","N"
"Normative","[""Definition""]",,"The normative content of a document is that with which the 'recipient' of the document has to comply. Hence, a normative section cannot be ignored.","[""Digital Railway""]",,,,,"Approved",,,"617","N"
"Notifiable","[""Definition""]",,"A CDM construction project which lasts longer than 30 working days and has more than 20 workers working simultaneously at any point in the project, or exceeds 500 person days.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety"",""CDM""]","H&S Import","Karen Campbell;Graeme Cox",,"Approved",,,"1457","N"
"Notified Body","[""Definition""]","NoBo","An organisation notified by a Member State (the DfT in the UK) to the EC as being competent to certify compliance with TSIs.","[""Digital Railway""]","[""Requirements Management""]",,,,"Approved",,,"618","N"
"Notified National Technical Rule","[""Definition""]","NNTR","All points of interaction during a system or subsystem life-cycle, including operation and maintenance where different actors of the rail sector will work together in order to manage the risks.","[""Digital Railway""]",,,,,"Approved",,,"619","N"
"Object Controller","[""Definition""]",,"The means to operate and monitor lineside objects such as points, level crossings and ground frames. An interface between the core infrastructure equipment and the object(s).","[""Digital Railway""]",,,,,"Approved",,,"620","O"
"Object Management Group","[""Definition""]",,"The Object Management Group is a computer industry standards consortium. OMG Task Forces develop enterprise integration standards for a range of technologies.","[""Systems Engineering""]",,"BIM & Digital Twin","Abel Maciel",,"Approved","5",,"1109","O"
"Object Type Library","[""Definition""]","OTL","A definition of Objects and their information requirements, to satisfy anticipated business requirements.","[""Industry""]",,,,,"Approved",,,"621","O"
"Objective","[""Definition""]",,"The overall goals which need to be achieved by a plan.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell",,"Approved",,,"1458","O"
"Observation","[""Definition""]",,"An area of concern where a process or activity is currently conforming but presents risks to the extent that if not corrected may result in a Nonconformity.","[""EWR"",""Health, Wellbeing, Safety & Security""]","[""IMS"",""Health & Safety""]",,"Michelle Stroud;Karen Campbell",,"Approved",,,"1070","O"
"Obsolescence Management Plan","[""Abbreviation""]","OMP",,"[""Industry""]",,,,,"Approved",,,"622","O"
